"ontology title","ontology iri","summary","authors","contributors","license information","project page","source page","latest json-ld file","latest n3 file","latest ntriples file","latest rdf/xml file","latest turtle file","modified","version"
"Concepts to be moved to EMMO","https://w3id.org/emmo/domain/microstructure/for_emmo",,"Astrid Marthinsen,Georg J. Schmitz,Jesper Friis,Sylvain Gouttebroze,Tomas Manik,Ulrike Cihak-Bayr",,"CC-BY 4.0","https://github.com/emmo-repo/domain-microstructure",,,,,"https://w3id.org/emmo/domain/microstructure/for_emmo",,"2024-03-22","0.3"
"Cooker and Oven Vocabulary","http://purl.org/opdm/cookeroven#","Vocabulary to describe cookers and ovens.","Martin Hepp,Bene Rodriguez-Castro,László Török",,"CC-BY 3.0","http://www.ebusiness-unibw.org/ontologies/opdm/cookeroven.html",,,,,"http://purl.org/opdm/cookeroven#",,,
"CORAX","http://purl.org/ieee1872-owl/corax","It was developed to provide concepts which were to general for CORA ontology, but did not exist in SUMO ontology, such as design, interaction and artifical system.","Sandro Rama Fiorini,Vitor Fortes Rey",,"CC-BY 4.0","https://github.com/srfiorini/IEEE1872-owl",,,,,"https://raw.githubusercontent.com/srfiorini/IEEE1872-owl/master/corax.owl",,"2020-10-21","1.0"
"core","http://rds.posccaesar.org/ontology/plm/ont/core","Core ontology for Product Lifecycle Management (PLM) RDL.","Johan Wilhelm Klüwer",,"CC-BY-SA 4.0","https://rds.posccaesar.org/ontology/plm/ont/core/",,,,,"https://rds.posccaesar.org/ontology/plm/ont/core/0.9.0/plm-core.rdf","https://rds.posccaesar.org/ontology/plm/ont/core/0.9.0/plm-core.ttl","2022-09-26","0.9.1"
"Core Ontology for Robotics and Automation","http://purl.org/ieee1872-owl/cora","It was developed within the IEEE 1872-2015 Standard Ontologies for Robotics and Automation. Specifies core conceptions of Robotics domain.","Sandro Rama Fiorini,Vitor Fortes Rey",,"CC-BY 4.0","https://github.com/srfiorini/IEEE1872-owl",,,,,"https://raw.githubusercontent.com/srfiorini/IEEE1872-owl/master/cora.owl",,"2020-10-21","1.0"
"Core Ontology for Robotics and Automation (Bare)","http://purl.org/ieee1872-owl/cora-bare","A standalone taxonomy of the concepts and properties in CORA, without links to SUMO or CORAX.","Sandro Rama Fiorini,Vitor Fortes Rey",,"CC-BY 4.0","https://github.com/srfiorini/IEEE1872-owl",,,,,"https://raw.githubusercontent.com/srfiorini/IEEE1872-owl/master/cora-bare.owl",,"2017-11-24","1.0"
"Creative Commons (creativecommonsorg)","http://creativecommons.org/ns#","The Creative Commons Rights Expression Language (ccREL) lets you describe copyright licenses in RDF.",,,"CC-BY 4.0","https://creativecommons.org/ns",,,,,"https://creativecommons.org/schema.rdf",,,
"Creative Commons (webresourceorg/cc/)","http://web.resource.org/cc/","The CC schema lets you describe copyright licenses in RDF.",,,,"https://web.resource.org/cc/",,,,,"https://web.resource.org/cc/schema.rdf",,,
"Crystallography Domain Ontology","http://emmo.info/domain-crystallography/crystallography","A crystallography domain ontology based on EMMO and the CIF core dictionary.","Jesper Friis,Francesca Lønstad Bleken,Casper Welzel Andersen",,"CC-BY 4.0","https://github.com/emmo-repo/domain-crystallography",,,,,,"https://raw.githubusercontent.com/emmo-repo/domain-crystallography/master/crystallography.ttl","2024-02-13","0.1.0"
"CSS Ontology","http://www.w3id.org/hsu-aut/css","An ontology for the Capability, Skill and Service reference model defined by Plattform Industrie 4.","Aljosha Köcher (via Git commits, might be incomplete)",,"MIT","https://github.com/CaSkade-Automation/CSS",,,,,,"https://raw.githubusercontent.com/hsu-aut/css-ontology/v1.0.1/CSS-Ontology.owl","2023-01-26","1.0.1"
"Data Catalog Vocabulary","http://www.w3.org/ns/dcat#","DCAT is an RDF vocabulary designed to facilitate interoperability between data catalogs published on the Web.","Riccardo Albertoni,David Browning,Simon Cox,Alejandra Gonzalez Beltran,Andrea Perego,Peter Winstanley and further contributors",,"CC-BY 4.0","https://www.w3.org/TR/vocab-dcat-2/",,,,,"https://www.w3.org/ns/dcat.rdf","https://www.w3.org/ns/dcat.ttl","2024-01-18","2.0"
"DefectOnt","http://www.semanticweb.org/andrea/ontologies/2022/8/DefectOnt","An ontology for defect detection in metal additive manufacturing.","Massimo CarraturoaAndrea Mazzullo",,,"https://github.com/AndreaMazzullo/DefectOnt/",,,,,"https://raw.githubusercontent.com/AndreaMazzullo/DefectOnt/master/DefectOnt.owl",,"2022-10-09",
"Digital Buildings Ontology","http://www.google.com/digitalbuildings/","The Digital Buildings ontology is an open-source, Apache-licensed development effort to create a uniform schema for representing metadata in Google's buildings real estate portfolio. It is inspired from Project Haystack and BrickSchema.","Keith Berkoben,Trevor Sodorff",,"Apache License 2.0","https://github.com/google/digitalbuildings/",,,,,"https://raw.githubusercontent.com/google/digitalbuildings/master/ontology/rdf/digital_buildings.rdf",,"2020-10-31","0.0.1"
"Digital Camera Vocabulary","http://purl.org/opdm/digitalcamera#","Vocabulary to describe digital cameras.","Bene Rodriguez-Castro,László Török,Martin Hepp",,"CC-BY 3.0","http://www.ebusiness-unibw.org/ontologies/opdm/digitalcamera.html",,,,,"http://purl.org/opdm/digitalcamera#",,,"1.0"
"Digital Construction Agents","https://w3id.org/digitalconstruction/0.5/Agents","Agents ontology formalize the representation of the actors and stakeholders over the construction lifecycle, to support data sharing of the social, organizational and contractural relations.","Seppo Törmä,Yuan Zheng",,"CC-BY 4.0","https://digitalconstruction.github.io/Agents/v/0.5/",,,,,,"https://digitalconstruction.github.io/Agents/v/0.5/agents.ttl","2021-04-12","0.5"
"Digital Construction Contexts","https://w3id.org/digitalconstruction/0.5/Contexts","Context ontology provides the basic representation mechanisms for multi-context information present in all contruction and renovation projects, including planned and actual values, as-designed and as-built models, and different levels of detail/development.","Seppo Törmä,Yuan Zheng",,"CC-BY 4.0","https://digitalconstruction.github.io/Contexts/v/0.5/",,,,,,"https://digitalconstruction.github.io/Contexts/v/0.5/contexts.ttl","2019-12-20","0.5"
"Digital Construction Energy","https://w3id.org/digitalconstruction/0.5/Energy","An ontology for energy systems and energy efficiency in the construction and renovation domain.","Kostas Tsatsakis,Spiros Kousouris",,"CC-BY 4.0","https://digitalconstruction.github.io/Energy/v/0.5/",,,,,,"https://digitalconstruction.github.io/Energy/v/0.5/energy.ttl","2022-06-29","0.5"
"Digital Construction Entities","https://w3id.org/digitalconstruction/0.5/Entities","Digital Construction Entities Ontology defines the basic classes and properties needed for the representation of construction and renovation projects.","Seppo Törmä,Yuan Zheng",,"CC-BY 4.0","https://digitalconstruction.github.io/Entities/v/0.5/",,,,,,"https://digitalconstruction.github.io/Entities/v/0.5/entities.ttl","2021-03-31","0.5"
"Digital Construction Information","https://w3id.org/digitalconstruction/0.5/Information","Digital Construction Information ontology defines the representation of information content entities in construction and renovation, including models, plans, scenarios, messages, issues, videos and point clouds.","Seppo Törmä,Yuan Zheng",,"CC-BY 4.0","https://digitalconstruction.github.io/Information/v/0.5/",,,,,,"https://digitalconstruction.github.io/Information/v/0.5/information.ttl","2020-03-20","0.5"
"Digital Construction Lifecycle","https://w3id.org/digitalconstruction/0.5/Lifecycle","An ontology to represent the enhancement of building data throughout the construction lifecycle stages.","Janakiram Karlapudi",,"CC-BY 4.0","https://digitalconstruction.github.io/Lifecycle/v/0.5/",,,,,,"https://digitalconstruction.github.io/Lifecycle/v/0.5/lifecycle.ttl","2020-06-18","0.5"
"Digital Construction Materials","https://w3id.org/digitalconstruction/0.5/Materials","The Material Ontology defining the main concepts of building material, type and its properties.","Janakiram Karlapudi,Prathap Valluru",,"CC-BY 4.0","https://digitalconstruction.github.io/Materials/v/0.5/",,,,,,"https://digitalconstruction.github.io/Materials/v/0.5/materials.ttl","2021-04-21","0.5"
"Digital Construction Occupancy","https://w3id.org/digitalconstruction/0.5/Occupancy","Digital Construction Occupancy ontology represents those aspects of construction and renovation projects that concern the comfort, safety and health of occupants, including visual and thermal comfort, indoor air quality and building acoustics, as well as related sensor observations.","Kostas Tsatsakis,Spiros Kousouris",,"CC-BY 4.0","https://digitalconstruction.github.io/Occupancy/v/0.5/",,,,,,"https://digitalconstruction.github.io/Occupancy/v/0.5/occupancy.ttl","2020-04-24","0.5"
"Digital Construction Processes","https://w3id.org/digitalconstruction/0.5/Processes","Processes ontology defines the concepts and relations for activities and resources.","Seppo Törmä,Yuan Zheng",,"CC-BY 4.0","https://digitalconstruction.github.io/Processes/v/0.5/",,,,,,"https://digitalconstruction.github.io/Processes/v/0.5/processes.ttl","2021-04-15","0.5"
"Digital Construction Units","http://w3id.org/digitalconstruction/0.5/Units","Digital Construction Units vocabulary defines units and quantity kinds that are specific to construction and renovation projects, for instance, concerning energy simulation results.","Seppo Törmä",,,"https://digitalconstruction.github.io/Units/v/0.5/",,,,,,"https://digitalconstruction.github.io/Units/v/0.5/units.ttl","2021-05-12","0.5"
"Digital Construction Variables","https://w3id.org/digitalconstruction/0.5/Variables","Ontology of properties, property states, measurements, constraints, and values.","Seppo Törmä",,"CC-BY 4.0","https://digitalconstruction.github.io/Variables/v/0.5/",,,,,,"https://digitalconstruction.github.io/Variables/v/0.5/variables.ttl","2021-04-06","0.5"
"Digital Receiver Vocabulary","http://purl.org/opdm/digitalreceiver#","Vocabulary to describe televisiton digital receivers.","Bene Rodriguez-Castro,László Török,Martin Hepp",,"CC-BY 3.0","http://www.ebusiness-unibw.org/ontologies/opdm/digitalreceiver.html",,,,,"http://purl.org/opdm/digitalreceiver#",,,"1.4"
"DIN 8580 Ontology-Design-Pattern","http://www.w3id.org/hsu-aut/DIN8580","Its an ontology design pattern of DIN 8580, a German standard with a taxonomy of manufacturing processes.","Tom Jeleniewski,Aljosha Köcher",,"MIT","https://github.com/hsu-aut/IndustrialStandard-ODP-DIN8580",,,,,"https://raw.githubusercontent.com/hsu-aut/IndustrialStandard-ODP-DIN8580/master/DIN8580.owl",,"2023-07-18","2.0.0"
"DIN EN 61360 Ontology-Design-Pattern","http://www.w3id.org/hsu-aut/DINEN61360","Its an ontology design pattern of DIN EN 61360, which is about standard data element types with associated classification scheme (Part 1: Definitions - Principles and methods).","Aljosha Köcher (via Git commits, might be incomplete)",,"MIT","https://github.com/hsu-aut/IndustrialStandard-ODP-DINEN61360",,,,,"https://raw.githubusercontent.com/hsu-aut/IndustrialStandard-ODP-DINEN61360/master/DINEN61360.owl",,"2023-11-28","2.0.0"
"DIN EN 62264-2 Ontology-Design-Pattern","http://www.w3id.org/hsu-aut/DINEN62264-2","Its an ontology design pattern of DIN EN 62264-2, which is about the continuous exchange of information between company functions such as production, planning, materials management, personnel, the control systems and the IT systems must be correct, complete and timely without delay.","Aljosha Köcher,Janni Kreisberg (via Git commits, might be incomplete)",,"MIT","https://github.com/hsu-aut/IndustrialStandard-ODP-DINEN62264-2",,,,,"https://raw.githubusercontent.com/hsu-aut/IndustrialStandard-ODP-DINEN62264-2/master/DINEN62264.owl",,"2023-11-17","2.0.0"
"Dishwasher Vocabulary","http://purl.org/opdm/dishwasher#","Vocabulary to describe dishwashers.","Martin Hepp,Bene Rodriguez-Castro,László Török",,"CC-BY 3.0","http://www.ebusiness-unibw.org/ontologies/opdm/dishwasher.html",,,,,"http://purl.org/opdm/dishwasher#",,,
"Distribution Element Ontology","https://pi.pauwel.be/voc/distributionelement","The Distribution Element Ontology provides an ontology based on the IfcDistributionElement subtree in the IFC specification, containing a taxonomy of classes that allow to define common distribution elements (actuators, flowterminals, .","Pieter Pauwels",,"CC-BY 1.0","https://pi.pauwel.be/voc/distributionelement/index-en.html",,,,,"https://pi.pauwel.be/voc/distributionelement/ontology.xml","https://pi.pauwel.be/voc/distributionelement/ontology.ttl","2019-01-28","0.1.0"
"Domain Mechanical Testing","http://emmo.info/emmo/domain/mechanical-testing","A domain ontology for Mechanical Testing based on EMMO.","Adham Hashibon,Daniele Toti,Gerhard Goldbeck,Joana Francisco Morgado,Yoav Nahshon",,"CC-BY 4.0","https://github.com/emmo-repo/domain-mechanical-testing",,,,,"https://raw.githubusercontent.com/emmo-repo/domain-mechanical-testing/master/emmo-mechanical-testing.owl",,"2022-07-13","1.0.0"
"Domain Mechanical Testing Chemistry","http://emmo.info/emmo/middle/chemistry",,"Joana F. Morgado and contributors (https://github.com/emmo-repo/domain-mechanical-testing/graphs/contributors)",,"CC-BY 4.0","https://github.com/emmo-repo/domain-mechanical-testing",,,,,"https://raw.githubusercontent.com/emmo-repo/domain-mechanical-testing/master/chemistry.owl",,"2022-06-01","1.0.0-beta"
"Dryer Machine Vocabulary","http://purl.org/opdm/dryermachine#","Vocabulary to describe dryer machines.","Bene Rodriguez-Castro,László Török,Martin Hepp",,"CC-BY 3.0","http://www.ebusiness-unibw.org/ontologies/opdm/dryermachine.html",,,,,"http://purl.org/opdm/dryermachine#",,,
"DVD Player and Blu-ray Player Vocabulary","http://purl.org/opdm/blurayplayer#","Vocabulary for DVD players and blu-ray players.","Bene Rodriguez-Castro,László Török,Martin Hepp",,"CC-BY 3.0","http://www.ebusiness-unibw.org/ontologies/opdm/blurayplayer.html",,,,,"http://purl.org/opdm/blurayplayer#",,,
"Elemental Multiperspective Material middle-level ontology","http://emmo.info/emmo/middle","The EMMO middle-level ontology is a container for the EMMO middle level ontologies.","Adham Hashibon,Emanuele Ghedini,Georg Schmitz,Gerhard Goldbeck,Jesper Friis",,"CC-BY 4.0","https://github.com/emmo-repo/EMMO",,,,,,"https://raw.githubusercontent.com/emmo-repo/EMMO/1.0.0-beta/middle/middle.ttl","2020-12-05","1.0.0-beta"
"Elemental Multiperspective Material Ontology","http://emmo.info/emmo#","Elemental Multiperspective Material Ontology is a multidisciplinary effort to develop a standard representational framework (the ontology) based on current materials modelling knowledge, including physical sciences, analytical philosophy and information and communication technologies.","Adham Hashibon,Emanuele Ghedini,Georg Schmitz,Gerhard Goldbeck,Jesper Friis",,"CC-BY 4.0","https://emmc.eu/emmo",,,,,,"http://emmo.info/emmo#","2022-05-29","1.0.0-beta"
"EMMO cif_core","http://emmo.info/domain-crystallography/cif_core","CIF core ontology generated from the CIF core definitions at https://raw.githubusercontent.com/COMCIFS/cif_core/master/.","Jesper Friis",,"CC-BY 4.0","https://github.com/emmo-repo/CIF-ontology",,,,,,"https://raw.githubusercontent.com/emmo-repo/CIF-ontology/gh-pages/versions/0.1.0/cif_core.ttl","2023-11-09","0.1.0"
"EMMO inferred chemistry2","https://emmo-repo.github.io/versions/1.0.0-beta/emmo-inferred-chemistry2.ttl",".","Adham Hashibon,Emanuele Ghedini,Georg Schmitz,Gerhard Goldbeck,Jesper Friis",,"CC-BY 4.0","https://github.com/emmo-repo/EMMO",,,,,,"https://emmo-repo.github.io/versions/1.0.0-beta/emmo-inferred-chemistry2.ttl",,"1.0.0-beta"
"EMMO top-level ontology","http://emmo.info/emmo/top","The EMMO top module is a container for EMMO top-level ontology.","Adham Hashibon,Emanuele Ghedini,Georg Schmitz,Gerhard Goldbeck,Jesper Friis",,"CC-BY 4.0","https://github.com/emmo-repo/EMMO",,,,,,"http://emmo.info/emmo/1.0.0-beta/top","2020-12-05","1.0.0-beta"
"equipment","http://rds.posccaesar.org/ontology/plm/ont/equipment","Equipment ontology for Product Lifecycle Management RDL.","Johan Wilhelm Klüwer",,"CC-BY-SA 4.0","https://rds.posccaesar.org/ontology/plm/ont/equipment/",,,,,"https://rds.posccaesar.org/ontology/plm/ont/equipment/0.9.0/plm-equipment.rdf","https://rds.posccaesar.org/ontology/plm/ont/equipment/0.9.0/plm-equipment.ttl","2022-09-26","0.9.1"
"Expression of Core FRBR Concepts in RDF","http://purl.org/vocab/frbr/core#","This vocabulary is an expression in RDF of the concepts and relations described in the IFLA report on the Functional Requirements for Bibliographic Records (FRBR).","Ian Davis,Richard Newman",,"CC-BY 2.0","https://vocab.org/frbr/core",,,,,"http://purl.org/vocab/frbr/frbr-core-20050810.rdf",,"2005-08-09",
"Extruder's sensors ontology","http://bdi.si.ehu.es/bdi/ontologies/ExtruOnt/sensors4ExtruOnt","Sensor related information for ExtruOnt ontology.","BDI group",,"CC-BY 3.0","http://bdi.si.ehu.es/bdi/ontologies/ExtruOnt/docs/",,,,,"http://bdi.si.ehu.es/bdi/ontologies/ExtruOnt/sensors4ExtruOnt.owl",,,
"Facility Ontology","https://cogito.iot.linkeddata.es/def/facility#","The COGITO Facility ontology aims at modelling facilities in the construction domain.","María Poveda Villalón,Raúl García Castro,Socorro Bernardos Galindo",,"CC-BY 4.0","https://github.com/oeg-upm/cogito-facility-ontology",,,,,"https://cogito.iot.linkeddata.es/def/facility/ontology.rdf","https://cogito.iot.linkeddata.es/def/facility/ontology.ttl","2023-12-07","0.11.0"
"Furniture Sector Ontology","http://www.aidimme.es/FurnitureSectorOntology.owl#","The furniture sector ontology aims at covering the scope of the furniture industry and it has been extended according to the needs of the furniture domain to the home and furnishing arena.","AIDIMME (www.aidimme.es),funStep initiative (www.funstep.org)",,,"https://industryportal.enit.fr/ontologies/FUNSTEP",,,,,"https://data.industryportal.enit.fr/ontologies/FUNSTEP/submissions/1/download?apikey=019adb70-1d64-41b7-8f6e-8f7e5eb54942",,"2020-11-17","2.5.1"
"Game Console Vocabulary","http://purl.org/opdm/gameconsole#","Vocabulary to describe game consoles, such as Nintendo Wii(c), Sony Playstation(c), Microsoft XBox(c).","Martin Hepp,Bene Rodriguez-Castro,László Török",,"CC-BY 3.0","http://www.ebusiness-unibw.org/ontologies/opdm/gameconsole.html",,,,,"http://purl.org/opdm/gameconsole#",,,
"Garment Vocabulary","http://purl.org/opdm/garment#","Vocabulary to describe men's/women's shirts, dresses, skirts, trousers.","Martin Hepp,Bene Rodriguez-Castro,László Török",,"CC-BY 3.0","http://www.ebusiness-unibw.org/ontologies/opdm/garment.html",,,,,"http://purl.org/opdm/garment#",,,
"General Process Ontology","https://gitlab.cc-asp.fraunhofer.de/ISC-Public/ISC-Digital/ontology/GPO","This ontology aims to model processes, which are holistic perspective elements that transform inputs/educts (matter, energy, information) into output/products (matter, energy, information) with the help of tools (devices, algorithms). They can be decomposed into sub-processes and have predecessor and successor processes.","Simon Stier",,"CC-BY 4.0","https://gitlab.cc-asp.fraunhofer.de/ISC-Public/ISC-Digital/ontology/gpo",,,,,,"https://gitlab.cc-asp.fraunhofer.de/ISC-Public/ISC-Digital/ontology/gpo/-/raw/master/GPO.ttl","2021-09-14",
"GeoSPARQL Extension geo4ExtruOnt","http://bdi.si.ehu.es/bdi/ontologies/geo4ExtruOnt","Submodule from GeoSPARQL: An RDF/OWL vocabulary for representing spatial information.","Open Geospatial Consortium",,,,,,,,"http://bdi.si.ehu.es/bdi/ontologies/ExtruOnt/geo4ExtruOnt.owl",,"2012-04-30",
